n	50
m	51
j	a	b	d	k
0	76	90	2831	43
1	98	79	1785	26
2	87	23	4042	42
3	75	13	1661	41
4	52	76	3654	2
5	51	51	11	11
6	21	61	3441	42
7	48	51	2626	28
8	53	69	396	38
9	6	58	3717	33
10	67	8	2616	46
11	27	26	3655	30
12	61	82	2567	14
13	16	96	1283	38
14	36	90	179	16
15	53	41	253	31
16	31	41	3524	43
17	60	98	1509	30
18	11	66	3905	50
19	47	69	3939	47
20	86	98	487	11
21	39	86	4192	28
22	84	50	3679	45
23	22	89	2909	38
24	45	24	4066	32
25	90	2	2998	44
26	8	32	3786	39
27	38	79	2932	6
28	40	81	638	29
29	29	4	2444	40
30	11	76	473	37
31	86	32	3296	27
32	31	62	1541	16
33	78	8	570	19
34	68	29	3395	10
35	39	42	3482	25
36	79	95	298	30
37	30	47	718	47
38	41	89	2861	50
39	40	32	2041	44
40	98	6	2318	12
41	46	94	288	49
42	72	46	1648	15
43	61	95	467	29
44	37	53	3319	23
45	57	94	1006	24
46	61	99	2162	10
47	35	95	943	32
48	62	61	934	27
49	35	16	514	48
K
0	23	8	36	21	32	34	58	28	69	24	25	29	35	45	42	20	15	43	33	49	15	50	26	48	37	8	41	45	42	43	23	33	51	22	13	69	8	22	17	48	15	28	14	51	52	14	28	39	21	58
23	0	29	57	30	47	17	79	15	90	1	4	50	54	28	63	3	28	64	54	52	36	49	47	69	58	27	60	48	63	64	30	16	56	7	28	90	23	35	40	69	8	27	35	28	43	9	25	36	42	79
8	29	0	28	25	36	38	50	32	61	28	33	21	39	49	34	26	19	37	25	53	7	54	18	40	29	12	45	49	34	41	27	37	55	26	17	61	16	26	13	40	21	32	6	55	56	22	32	43	13	50
36	57	28	0	27	20	40	22	42	33	56	61	13	23	33	6	54	29	21	5	37	21	38	14	16	13	30	29	33	6	25	27	41	39	50	29	33	44	22	29	12	49	30	22	39	40	50	32	27	15	22
21	30	25	27	0	17	13	49	15	60	29	34	22	24	24	33	27	6	34	24	28	18	29	23	39	28	13	30	24	33	34	2	14	30	23	8	60	21	5	38	39	22	7	25	30	31	23	7	18	14	49
32	47	36	20	17	0	30	32	32	43	46	51	33	7	19	26	44	19	17	15	17	29	18	34	22	11	24	13	13	18	17	17	31	19	40	19	43	34	12	49	22	39	20	36	21	20	40	22	11	25	32
34	17	38	40	13	30	0	62	6	73	16	21	35	37	11	46	14	19	47	37	35	31	32	36	52	41	26	43	31	46	47	13	1	39	12	21	73	34	18	51	52	19	10	38	17	26	20	8	19	27	62
58	79	50	22	49	32	62	0	64	11	78	83	29	25	51	16	76	51	15	25	31	43	32	32	10	21	52	23	31	16	19	49	63	33	72	51	11	66	44	43	10	71	52	44	53	36	72	54	43	37	2
28	15	32	42	15	32	6	64	0	75	14	19	35	39	17	48	12	13	49	39	37	25	34	32	54	43	20	45	33	48	49	15	5	41	8	15	75	28	20	45	54	13	12	32	23	28	14	10	21	27	64
69	90	61	33	60	43	73	11	75	0	89	94	40	36	62	27	87	62	26	36	38	54	41	43	21	32	63	30	42	27	26	60	74	34	83	62	0	77	55	54	21	82	63	55	64	47	83	65	54	48	11
