n	20
m	21
j	a	b	d	k
0	16	7	895	6
1	90	79	602	17
2	6	59	99	1
3	28	23	663	8
4	16	99	885	6
5	24	48	735	4
6	30	6	654	11
7	76	77	770	15
8	38	70	471	12
9	31	33	672	19
10	39	96	903	0
11	33	72	1074	15
12	26	39	358	0
13	5	64	763	20
14	2	5	287	6
15	26	41	1077	6
16	22	74	458	1
17	1	49	753	5
18	32	75	981	11
19	97	29	531	18
K
0	34	24	41	38	14	41	36	40	40	19	42	33	26	21	17	49	27	20	28	27
34	0	20	75	48	48	39	56	74	74	15	76	41	8	43	17	83	61	40	62	61
24	20	0	55	62	34	19	36	54	54	31	56	57	12	45	23	63	41	20	42	41
41	75	55	0	31	27	48	43	19	29	60	9	36	67	32	58	8	30	35	13	14
38	48	62	31	0	28	79	74	50	60	33	40	9	52	17	39	35	61	58	34	23
14	48	34	27	28	0	51	46	26	32	33	28	23	40	11	31	35	33	30	14	13
41	39	19	48	79	51	0	17	35	35	48	39	74	31	62	40	44	22	21	45	56
36	56	36	43	74	46	17	0	24	18	43	34	69	48	57	39	39	13	16	40	51
40	74	54	19	50	26	35	24	0	10	59	10	45	66	33	57	15	13	34	16	27
40	74	54	29	60	32	35	18	10	0	59	20	55	66	43	57	25	13	34	26	37
19	15	31	60	33	33	48	43	59	59	0	61	26	21	28	8	68	46	27	47	46
42	76	56	9	40	28	39	34	10	20	61	0	37	68	33	59	7	21	36	14	17
33	41	57	36	9	23	74	69	45	55	26	37	0	47	12	34	44	56	53	29	22
26	8	12	67	52	40	31	48	66	66	21	68	47	0	35	13	75	53	32	54	53
21	43	45	32	17	11	62	57	33	43	28	33	12	35	0	26	40	44	41	19	18
17	17	23	58	39	31	40	39	57	57	8	59	34	13	26	0	66	44	23	45	44
49	83	63	8	35	35	44	39	15	25	68	7	44	75	40	66	0	26	43	21	22
27	61	41	30	61	33	22	13	13	13	46	21	56	53	44	44	26	0	21	27	38
20	40	20	35	58	30	21	16	34	34	27	36	53	32	41	23	43	21	0	24	35
28	62	42	13	34	14	45	40	16	26	47	14	29	54	19	45	21	27	24	0	11
27	61	41	14	23	13	56	51	27	37	46	17	22	53	18	44	22	38	35	11	0
