n	50
m	51
j	a	b	d	k
0	87	27	1805	49
1	65	77	2253	40
2	9	5	2027	46
3	9	60	195	22
4	17	48	3169	1
5	11	12	2863	13
6	54	90	1807	22
7	1	71	918	35
8	30	55	2199	41
9	84	90	2572	23
10	59	83	2753	36
11	55	51	3010	1
12	89	90	1426	43
13	24	2	615	3
14	53	43	1289	44
15	57	83	334	29
16	90	87	1617	34
17	100	74	12	39
18	2	3	650	48
19	55	80	2030	45
20	39	36	2495	28
21	65	53	2720	9
22	52	27	695	19
23	21	70	799	6
24	59	24	290	50
25	53	41	2432	35
26	15	53	1578	16
27	14	11	134	10
28	56	58	2289	33
29	76	50	2936	2
30	54	100	793	30
31	31	53	3019	42
32	82	4	647	38
33	53	82	640	31
34	84	43	1530	11
35	77	99	2803	14
36	96	70	3162	27
37	86	81	637	23
38	3	67	3030	20
39	52	71	1982	20
40	43	47	1002	19
41	18	79	2947	18
42	44	89	1900	22
43	5	29	535	1
44	8	31	3070	18
45	58	2	1956	42
46	4	71	1276	3
47	1	30	655	26
48	77	30	42	11
49	19	33	3130	47
K
0	17	30	17	7	23	24	56	30	28	29	53	22	40	42	16	19	10	19	13	10	11	19	21	30	51	27	40	25	29	6	40	48	27	29	31	36	45	53	12	44	5	20	34	53	38	18	29	15	34	17
17	0	13	24	12	40	29	73	35	23	46	48	39	43	59	33	18	7	36	12	27	28	10	30	17	46	44	57	42	30	11	57	65	22	12	48	53	62	48	11	39	20	7	39	48	55	17	12	12	29	16
30	13	0	37	25	53	40	86	38	20	59	45	52	56	72	46	31	20	49	17	40	41	11	43	14	43	57	70	55	43	24	70	78	19	3	61	66	75	45	18	36	33	10	42	45	68	30	7	25	34	29
17	24	37	0	12	16	41	49	47	27	22	36	39	23	35	9	6	17	24	24	19	18	26	38	37	34	20	33	18	12	23	33	41	28	36	24	29	38	36	23	27	22	27	51	36	31	7	36	12	17	8
7	12	25	12	0	28	31	61	37	21	34	46	29	33	47	21	12	5	24	14	15	16	14	28	25	44	32	45	30	22	13	45	53	20	24	36	41	50	46	13	37	12	15	41	46	43	11	24	8	27	10
23	40	53	16	28	0	47	33	53	43	28	30	45	17	19	15	22	33	30	36	25	24	42	44	53	28	12	17	8	10	29	29	25	44	52	16	31	22	30	35	21	28	43	57	30	15	23	52	28	19	24
24	29	40	41	31	47	0	46	6	52	19	77	12	64	42	32	43	30	17	23	22	23	39	3	46	75	35	34	39	53	18	30	46	51	39	31	26	45	77	22	68	19	30	10	77	34	42	39	39	58	41
56	73	86	49	61	33	46	0	50	76	27	55	36	30	14	40	55	66	37	69	46	45	75	43	86	43	29	16	31	43	62	20	8	77	85	25	22	11	45	68	54	53	76	50	51	18	56	85	61	52	57
30	35	38	47	37	53	6	50	0	58	25	83	16	70	48	38	49	36	23	23	28	29	45	9	52	81	41	40	45	59	24	34	52	57	41	37	30	51	83	24	74	25	28	4	83	40	48	45	45	64	47
28	23	20	27	21	43	52	76	58	0	49	25	50	46	62	36	21	22	39	35	30	31	13	49	10	33	47	60	45	33	34	60	68	1	17	51	56	65	31	34	22	33	30	62	25	58	20	13	15	24	19
29	46	59	22	34	28	19	27	25	49	0	58	17	45	23	13	28	39	10	42	19	18	48	16	59	56	16	15	20	34	35	11	27	50	58	12	7	26	58	41	49	26	49	29	58	15	29	58	34	39	30
53	48	45	36	46	30	77	55	83	25	58	0	75	25	41	45	34	47	60	60	55	54	38	74	31	12	42	43	38	24	59	59	47	26	42	46	61	44	10	59	9	58	55	87	4	43	35	38	38	19	36
22	39	52	39	29	45	12	36	16	50	17	75	0	62	40	30	41	32	15	35	20	21	41	9	52	73	33	32	37	51	28	18	44	49	51	29	14	43	75	34	66	19	42	16	75	32	40	51	37	56	39
40	43	56	23	33	17	64	30	70	46	45	25	62	0	22	32	25	36	47	47	42	41	45	61	56	13	29	30	25	13	46	46	22	47	55	33	48	19	15	46	24	45	46	74	21	30	26	55	31	22	27
42	59	72	35	47	19	42	14	48	62	23	41	40	22	0	26	41	52	25	55	32	31	61	39	72	33	15	8	17	29	48	24	6	63	71	11	26	3	35	54	40	39	62	52	37	8	42	71	47	38	43
16	33	46	9	21	15	32	40	38	36	13	45	30	32	26	0	15	26	15	29	10	9	35	29	46	43	11	24	9	21	22	24	32	37	45	15	20	29	45	28	36	13	36	42	45	22	16	45	21	26	17
19	18	31	6	12	22	43	55	49	21	28	34	41	25	41	15	0	13	26	26	21	20	20	40	31	32	26	39	24	12	25	39	47	22	30	30	35	44	34	25	25	24	21	53	34	37	1	30	6	15	2
10	7	20	17	5	33	30	66	36	22	39	47	32	36	52	26	13	0	29	13	20	21	9	27	20	45	37	50	35	23	12	50	58	21	19	41	46	55	47	12	38	13	10	40	47	48	12	19	9	28	11
19	36	49	24	24	30	17	37	23	39	10	60	15	47	25	15	26	29	0	32	9	8	38	14	49	58	18	21	22	36	25	21	29	40	48	14	17	28	60	31	51	16	39	27	60	19	25	48	24	41	24
13	12	17	24	14	36	23	69	23	35	42	60	35	47	55	29	26	13	32	0	23	24	22	26	29	58	40	53	38	36	7	53	61	34	18	44	49	58	60	1	51	16	7	27	60	51	25	22	22	41	24
10	27	40	19	15	25	22	46	28	30	19	55	20	42	32	10	21	20	9	23	0	1	29	19	40	53	17	30	17	31	16	30	38	31	39	21	26	35	55	22	46	7	30	32	55	28	20	39	17	36	19
11	28	41	18	16	24	23	45	29	31	18	54	21	41	31	9	20	21	8	24	1	0	30	20	41	52	16	29	16	30	17	29	37	32	40	20	25	34	54	23	45	8	31	33	54	27	19	40	16	35	18
19	10	11	26	14	42	39	75	45	13	48	38	41	45	61	35	20	9	38	22	29	30	0	36	11	36	46	59	44	32	21	59	67	12	10	50	55	64	38	21	29	22	17	49	38	57	19	10	14	23	18
21	30	43	38	28	44	3	43	9	49	16	74	9	61	39	29	40	27	14	26	19	20	36	0	43	72	32	31	36	50	19	27	43	48	42	28	23	42	74	25	65	16	33	13	74	31	39	42	36	55	38
