n	50
m	51
j	a	b	d	k
0	50	93	29502	5
1	16	77	17764	10
2	16	8	26227	48
3	94	75	4912	33
4	3	93	6642	13
5	7	28	26798	25
6	59	10	30115	31
7	69	99	15549	14
8	34	65	20786	9
9	50	66	31604	4
10	50	32	5879	12
11	25	30	16902	25
12	36	2	8901	25
13	99	8	2742	33
14	95	22	25737	27
15	33	71	20879	15
16	7	48	19626	47
17	60	20	16320	42
18	20	47	30846	43
19	58	55	6842	49
20	2	98	1873	37
21	69	64	23958	26
22	22	22	1242	22
23	86	72	22086	11
24	29	78	31755	16
25	8	25	11669	5
26	22	100	7576	11
27	32	93	14357	27
28	46	40	32702	6
29	9	43	8024	46
30	28	71	26875	2
31	32	82	11826	46
32	55	84	26077	10
33	51	30	8153	30
34	46	66	10783	45
35	68	97	4370	38
36	73	12	32663	50
37	6	12	27608	17
38	66	19	22995	4
39	39	9	10522	33
40	97	7	6991	35
41	1	12	24961	10
42	87	19	16811	49
43	17	94	11618	32
44	80	31	6221	17
45	22	63	5449	0
46	84	92	19792	5
47	23	18	8121	5
48	29	74	25267	40
49	51	17	11801	11
K
0	5	10	33	39	42	2	15	61	26	26	53	16	4	57	41	16	38	45	20	18	23	20	13	28	33	16	15	8	7	28	24	20	48	56	14	64	29	34	29	25	30	17	28	29	31	42	8	11	11	25
5	0	5	28	42	45	5	18	64	29	29	48	21	9	60	44	21	33	48	25	21	28	17	10	33	30	21	10	11	6	23	29	15	43	59	15	67	24	37	34	28	33	16	25	32	34	45	7	6	6	28
10	5	0	23	41	44	8	23	63	28	30	43	26	14	59	43	26	28	47	30	24	33	18	11	38	29	26	9	10	5	18	34	10	38	58	14	66	19	36	39	27	32	15	26	31	33	44	12	5	5	27
33	28	23	0	24	51	31	46	46	15	53	20	49	37	42	48	49	5	46	53	47	56	37	28	61	12	49	18	31	26	21	57	15	15	41	19	49	12	21	62	32	15	16	43	18	16	35	35	22	22	42
39	42	41	24	0	41	37	54	22	13	43	30	39	41	18	38	39	27	36	43	37	46	59	52	51	12	39	32	31	36	45	47	39	27	19	27	25	36	11	52	22	9	26	67	10	8	25	47	36	36	32
42	45	44	51	41	0	40	57	23	36	16	71	32	44	27	3	36	56	5	26	24	29	62	55	24	51	40	35	34	39	48	28	42	66	22	32	22	47	30	29	19	48	35	70	33	41	16	50	39	39	17
2	5	8	31	37	40	0	17	59	24	24	51	18	6	55	39	18	36	43	22	16	25	22	15	30	31	18	13	6	5	26	26	18	46	54	12	62	27	32	31	23	28	15	30	27	29	40	10	9	9	23
15	18	23	46	54	57	17	0	76	41	41	66	25	13	72	56	21	51	60	31	33	28	9	18	33	46	17	28	23	20	41	29	33	61	71	27	79	42	49	28	40	45	30	13	44	46	57	11	24	24	40
61	64	63	46	22	23	59	76	0	35	35	48	51	63	4	20	55	49	18	45	43	48	81	74	43	34	59	54	53	58	67	47	61	49	5	49	3	58	27	48	36	31	48	89	32	30	19	69	58	58	36
26	29	28	15	13	36	24	41	35	0	38	35	34	28	31	33	34	20	31	38	32	41	46	39	46	15	34	19	18	23	32	42	26	30	30	14	38	23	8	47	17	12	13	54	3	5	20	34	23	23	27
26	29	30	53	43	16	24	41	35	38	0	73	16	28	31	15	20	58	19	10	8	13	46	39	8	53	24	35	22	27	48	12	40	68	30	34	38	49	32	13	21	50	37	54	35	43	18	34	31	31	11
53	48	43	20	30	71	51	66	48	35	73	0	69	57	44	68	69	15	66	73	67	76	57	48	81	20	69	38	51	46	25	77	33	5	49	39	51	24	41	82	52	23	36	53	38	30	55	55	42	42	62
16	21	26	49	39	32	18	25	51	34	16	69	0	12	47	31	4	54	35	6	8	7	30	23	12	49	8	31	18	23	44	8	36	64	46	30	54	45	28	13	17	46	33	38	31	39	32	18	27	27	15
4	9	14	37	41	44	6	13	63	28	28	57	12	0	59	43	12	42	47	18	20	19	18	11	24	37	12	19	10	11	32	20	24	52	58	18	66	33	36	25	27	34	21	26	31	33	44	6	15	15	27
57	60	59	42	18	27	55	72	4	31	31	44	47	59	0	24	51	45	22	41	39	44	77	70	39	30	55	50	49	54	63	43	57	45	5	45	7	54	23	44	32	27	44	85	28	26	15	65	54	54	32
41	44	43	48	38	3	39	56	20	33	15	68	31	43	24	0	35	53	4	25	23	28	61	54	23	48	39	34	33	38	47	27	41	63	19	29	23	44	27	28	16	45	32	69	30	38	13	49	38	38	16
16	21	26	49	39	36	18	21	55	34	20	69	4	12	51	35	0	54	39	10	12	7	26	21	12	49	4	31	18	23	44	8	36	64	50	30	58	45	28	13	19	46	33	34	31	39	36	14	27	27	19
38	33	28	5	27	56	36	51	49	20	58	15	54	42	45	53	54	0	51	58	52	61	42	33	66	15	54	23	36	31	18	62	18	10	44	24	52	9	26	67	37	18	21	40	23	19	40	40	27	27	47
45	48	47	46	36	5	43	60	18	31	19	66	35	47	22	4	39	51	0	29	27	32	65	58	27	46	43	38	37	42	51	31	45	61	17	33	19	42	25	32	20	43	32	73	28	36	11	53	42	42	20
20	25	30	53	43	26	22	31	45	38	10	73	6	18	41	25	10	58	29	0	6	3	36	29	8	53	14	35	22	27	48	4	40	68	40	34	48	49	32	9	21	50	37	44	35	43	26	24	31	31	11
18	21	24	47	37	24	16	33	43	32	8	67	8	20	39	23	12	52	27	6	0	9	38	31	14	47	16	29	16	21	42	10	34	62	38	28	46	43	26	15	15	44	31	46	29	37	24	26	25	25	7
23	28	33	56	46	29	25	28	48	41	13	76	7	19	44	28	7	61	32	3	9	0	33	28	5	56	11	38	25	30	51	1	43	71	43	37	51	52	35	6	24	53	40	41	38	46	29	21	34	34	14
20	17	18	37	59	62	22	9	81	46	46	57	30	18	77	61	26	42	65	36	38	33	0	9	38	47	22	27	28	23	32	34	24	52	76	32	84	33	54	33	45	50	33	8	49	51	62	12	23	23	45
13	10	11	28	52	55	15	18	74	39	39	48	23	11	70	54	21	33	58	29	31	28	9	0	33	40	21	20	21	16	23	29	15	43	69	25	77	24	47	34	38	43	26	15	42	44	55	7	16	16	38
28	33	38	61	51	24	30	33	43	46	8	81	12	24	39	23	12	66	27	8	14	5	38	33	0	61	16	43	30	35	56	4	48	76	38	42	46	57	40	5	29	58	45	46	43	51	26	26	39	39	19
33	30	29	12	12	51	31	46	34	15	53	20	49	37	30	48	49	15	46	53	47	56	47	40	61	0	49	20	31	26	33	57	27	15	29	19	37	24	21	62	32	3	16	55	18	10	35	35	24	24	42
16	21	26	49	39	40	18	17	59	34	24	69	8	12	55	39	4	54	43	14	16	11	22	21	16	49	0	31	18	23	44	12	36	64	54	30	62	45	32	13	23	46	33	30	31	39	40	14	27	27	23
15	10	9	18	32	35	13	28	54	19	35	38	31	19	50	34	31	23	38	35	29	38	27	20	43	20	31	0	13	8	13	39	7	33	49	5	57	14	27	44	18	23	6	35	22	24	35	17	4	4	24
8	11	10	31	31	34	6	23	53	18	22	51	18	10	49	33	18	36	37	22	16	25	28	21	30	31	18	13	0	5	26	26	18	46	48	12	56	27	26	31	17	28	15	36	21	23	34	16	9	9	17
7	6	5	26	36	39	5	20	58	23	27	46	23	11	54	38	23	31	42	27	21	30	23	16	35	26	23	8	5	0	21	31	13	41	53	9	61	22	31	36	22	27	10	31	26	28	39	11	4	4	22
28	23	18	21	45	48	26	41	67	32	48	25	44	32	63	47	44	18	51	48	42	51	32	23	56	33	44	13	26	21	0	52	8	20	62	18	70	9	40	57	31	36	19	28	35	37	48	30	17	17	37
