n	50
m	51
j	a	b	d	k
0	6	32	1139	10
1	51	70	3563	29
2	8	19	4089	47
3	90	86	382	35
4	97	27	2717	18
5	71	31	2738	33
6	4	42	1838	47
7	93	19	396	41
8	54	24	3209	25
9	96	55	2908	40
10	96	60	508	4
11	48	77	610	3
12	80	99	1584	22
13	17	54	1719	28
14	2	78	844	8
15	81	95	2128	30
16	40	62	3435	4
17	42	5	1164	8
18	45	22	2265	8
19	61	3	1231	28
20	24	28	1842	8
21	57	34	562	5
22	8	12	3204	47
23	4	37	2871	2
24	12	7	581	50
25	9	5	1483	38
26	52	24	2156	12
27	51	51	2171	50
28	33	59	1405	18
29	42	49	3507	7
30	45	75	31	20
31	69	8	3136	12
32	34	63	2268	4
33	44	83	3702	32
34	37	7	3424	38
35	26	39	2215	49
36	17	28	2561	49
37	49	86	1477	26
38	1	37	1154	23
39	88	43	3524	49
40	72	40	1114	0
41	64	67	553	26
42	36	42	1338	35
43	94	77	4131	31
44	56	42	738	8
45	44	100	1267	4
46	77	16	217	13
47	58	23	788	13
48	100	31	2529	9
49	16	6	407	19
K
0	24	25	32	34	50	21	26	42	25	67	31	18	42	26	34	28	22	32	45	54	40	16	51	34	33	47	16	47	49	49	18	15	64	20	24	8	16	12	29	32	32	19	13	18	22	15	19	36	40	32
24	0	49	14	28	44	25	24	42	25	61	17	10	66	20	16	52	46	56	69	48	34	26	45	32	27	47	12	41	43	43	42	39	58	8	48	28	10	22	23	18	56	13	31	6	10	39	43	24	16	56
25	49	0	57	53	29	24	25	21	24	46	56	43	17	35	59	3	5	7	20	39	43	23	30	17	54	26	41	26	28	28	23	24	43	45	3	21	41	27	40	57	7	40	34	43	47	30	28	61	65	7
32	14	57	0	14	38	33	32	50	33	47	3	24	74	22	2	60	54	64	77	34	20	34	53	40	13	55	26	47	31	37	50	47	44	12	56	36	16	30	17	4	64	17	39	14	10	47	51	10	8	64
34	28	53	14	0	34	29	28	46	29	33	11	38	70	18	12	56	50	60	73	20	10	30	49	36	1	51	40	43	27	33	46	43	30	20	52	32	18	26	13	10	60	15	47	22	18	43	47	8	18	60
50	44	29	38	34	0	29	24	12	25	17	37	54	36	24	40	30	34	26	39	20	24	34	15	16	35	17	56	9	7	1	52	53	14	36	32	42	34	38	21	38	26	31	63	38	34	59	57	42	46	30
21	25	24	33	29	29	0	5	21	4	46	32	25	41	11	35	27	21	31	44	33	19	5	30	13	30	26	27	26	28	28	23	24	43	21	23	13	17	9	16	33	31	16	34	19	23	30	28	37	41	31
26	24	25	32	28	24	5	0	18	1	41	31	30	42	10	34	28	22	32	45	28	18	10	25	8	29	23	32	21	23	23	28	29	38	20	24	18	16	14	15	32	32	15	39	18	22	35	33	36	40	32
42	42	21	50	46	12	21	18	0	17	25	49	46	24	28	52	22	26	18	27	32	36	26	9	10	47	5	48	5	19	13	44	45	22	38	24	34	34	30	33	50	14	33	55	36	40	51	49	54	58	22
25	25	24	33	29	25	4	1	17	0	42	32	29	41	11	35	27	21	31	44	29	19	9	26	9	30	22	31	22	24	24	27	28	39	21	23	17	17	13	16	33	31	16	38	19	23	34	32	37	41	31
67	61	46	47	33	17	46	41	25	42	0	44	71	45	41	45	47	51	43	50	15	27	51	20	33	34	22	73	20	18	18	69	70	3	53	49	59	51	55	38	43	39	48	80	55	51	76	74	37	51	47
31	17	56	3	11	37	32	31	49	32	44	0	27	73	21	3	59	53	63	76	31	17	33	52	39	10	54	29	46	30	36	49	46	41	11	55	35	15	29	16	1	63	16	38	13	9	46	50	7	9	63
18	10	43	24	38	54	25	30	46	29	71	27	0	60	30	26	46	40	50	63	58	44	20	55	38	37	51	2	51	53	53	36	33	68	18	42	22	20	16	33	28	50	23	25	16	20	33	37	34	22	50
42	66	17	74	70	36	41	42	24	41	45	73	60	0	52	76	14	20	10	5	56	60	40	29	34	71	25	58	27	43	37	24	27	42	62	18	38	58	44	57	74	10	57	35	60	64	31	29	78	82	10
26	20	35	22	18	24	11	10	28	11	41	21	30	52	0	24	38	32	42	55	28	14	12	31	18	19	33	32	25	23	23	28	29	38	12	34	18	10	14	5	22	42	7	39	14	12	35	33	26	30	42
34	16	59	2	12	40	35	34	52	35	45	3	26	76	24	0	62	56	66	79	32	18	36	55	42	11	57	28	49	33	39	52	49	42	14	58	38	18	32	19	2	66	19	41	16	12	49	53	8	6	66
28	52	3	60	56	30	27	28	22	27	47	59	46	14	38	62	0	6	4	17	42	46	26	31	20	57	27	44	27	29	29	22	23	44	48	4	24	44	30	43	60	8	43	33	46	50	29	27	64	68	4
22	46	5	54	50	34	21	22	26	21	51	53	40	20	32	56	6	0	10	23	38	40	20	35	18	51	31	38	31	33	33	18	19	48	42	2	18	38	24	37	54	12	37	29	40	44	25	23	58	62	10
32	56	7	64	60	26	31	32	18	31	43	63	50	10	42	66	4	10	0	13	46	50	30	27	24	61	23	48	23	33	27	26	27	40	52	8	28	48	34	47	64	4	47	37	50	54	33	31	68	72	4
45	69	20	77	73	39	44	45	27	44	50	76	63	5	55	79	17	23	13	0	59	63	43	34	37	74	30	61	30	46	40	27	30	47	65	21	41	61	47	60	77	13	60	38	63	67	30	26	81	85	13
54	48	39	34	20	20	33	28	32	29	15	31	58	56	28	32	42	38	46	59	0	14	38	35	22	21	37	60	29	13	19	56	57	14	40	38	46	38	42	25	30	46	35	67	42	38	63	61	24	38	46
40	34	43	20	10	24	19	18	36	19	27	17	44	60	14	18	46	40	50	63	14	0	24	39	26	11	41	46	33	17	23	42	43	24	26	42	32	24	28	11	16	50	21	53	28	24	49	47	18	24	50
16	26	23	34	30	34	5	10	26	9	51	33	20	40	12	36	26	20	30	43	38	24	0	35	18	31	31	22	31	33	33	18	19	48	22	22	8	18	4	17	34	30	17	29	20	24	25	23	38	42	30
51	45	30	53	49	15	30	25	9	26	20	52	55	29	31	55	31	35	27	34	35	39	35	0	17	50	4	57	6	22	16	53	54	21	41	33	43	37	39	36	53	23	36	64	39	43	60	58	57	61	31
34	32	17	40	36	16	13	8	10	9	33	39	38	34	18	42	20	18	24	37	22	26	18	17	0	37	15	40	13	15	15	36	37	30	28	16	26	24	22	23	40	24	23	47	26	30	43	41	44	48	24
33	27	54	13	1	35	30	29	47	30	34	10	37	71	19	11	57	51	61	74	21	11	31	50	37	0	52	39	44	28	34	47	44	31	19	53	33	17	27	14	9	61	14	46	21	17	44	48	7	17	61
47	47	26	55	51	17	26	23	5	22	22	54	51	25	33	57	27	31	23	30	37	41	31	4	15	52	0	53	8	24	18	49	50	23	43	29	39	39	35	38	55	19	38	60	41	45	56	54	59	63	27
16	12	41	26	40	56	27	32	48	31	73	29	2	58	32	28	44	38	48	61	60	46	22	57	40	39	53	0	53	55	55	34	31	70	20	40	20	22	18	35	30	48	25	23	18	22	31	35	36	24	48
47	41	26	47	43	9	26	21	5	22	20	46	51	27	25	49	27	31	23	30	29	33	31	6	13	44	8	53	0	16	10	49	50	17	35	29	39	31	35	30	47	19	30	60	35	37	56	54	51	55	27
49	43	28	31	27	7	28	23	19	24	18	30	53	43	23	33	29	33	33	46	13	17	33	22	15	28	24	55	16	0	6	51	52	15	35	31	41	33	37	20	31	33	30	62	37	33	58	56	35	39	33
49	43	28	37	33	1	28	23	13	24	18	36	53	37	23	39	29	33	27	40	19	23	33	16	15	34	18	55	10	6	0	51	52	15	35	31	41	33	37	20	37	27	30	62	37	33	58	56	41	45	29
18	42	23	50	46	52	23	28	44	27	69	49	36	24	28	52	22	18	26	27	56	42	18	53	36	47	49	34	49	51	51	0	3	66	38	20	14	34	20	33	50	30	33	11	36	40	7	5	54	58	22
15	39	24	47	43	53	24	29	45	28	70	46	33	27	29	49	23	19	27	30	57	43	19	54	37	44	50	31	50	52	52	3	0	67	35	21	11	31	17	32	47	31	30	10	33	37	6	4	51	55	23
64	58	43	44	30	14	43	38	22	39	3	41	68	42	38	42	44	48	40	47	14	24	48	21	30	31	23	70	17	15	15	66	67	0	50	46	56	48	52	35	40	36	45	77	52	48	73	71	36	48	44
20	8	45	12	20	36	21	20	38	21	53	11	18	62	12	14	48	42	52	65	40	26	22	41	28	19	43	20	35	35	35	38	35	50	0	44	24	4	18	15	12	52	5	27	2	2	35	39	16	20	52
24	48	3	56	52	32	23	24	24	23	49	55	42	18	34	58	4	2	8	21	38	42	22	33	16	53	29	40	29	31	31	20	21	46	44	0	20	40	26	39	56	10	39	31	42	46	27	25	60	64	8
8	28	21	36	32	42	13	18	34	17	59	35	22	38	18	38	24	18	28	41	46	32	8	43	26	33	39	20	39	41	41	14	11	56	24	20	0	20	6	21	36	28	19	21	22	26	17	15	40	44	28
16	10	41	16	18	34	17	16	34	17	51	15	20	58	10	18	44	38	48	61	38	24	18	37	24	17	39	22	31	33	33	34	31	48	4	40	20	0	14	13	16	48	3	29	4	6	31	35	20	24	48
12	22	27	30	26	38	9	14	30	13	55	29	16	44	14	32	30	24	34	47	42	28	4	39	22	27	35	18	35	37	37	20	17	52	18	26	6	14	0	17	30	34	13	25	16	20	21	21	34	38	34
29	23	40	17	13	21	16	15	33	16	38	16	33	57	5	19	43	37	47	60	25	11	17	36	23	14	38	35	30	20	20	33	32	35	15	39	21	13	17	0	17	47	10	42	17	13	38	36	21	25	47
32	18	57	4	10	38	33	32	50	33	43	1	28	74	22	2	60	54	64	77	30	16	34	53	40	9	55	30	47	31	37	50	47	40	12	56	36	16	30	17	0	64	17	39	14	10	47	51	6	8	64
32	56	7	64	60	26	31	32	14	31	39	63	50	10	42	66	8	12	4	13	46	50	30	23	24	61	19	48	19	33	27	30	31	36	52	10	28	48	34	47	64	0	47	41	50	54	37	35	68	72	8
19	13	40	17	15	31	16	15	33	16	48	16	23	57	7	19	43	37	47	60	35	21	17	36	23	14	38	25	30	30	30	33	30	45	5	39	19	3	13	10	17	47	0	32	7	7	30	34	21	25	47
13	31	34	39	47	63	34	39	55	38	80	38	25	35	39	41	33	29	37	38	67	53	29	64	47	46	60	23	60	62	62	11	10	77	27	31	21	29	25	42	39	41	32	0	25	29	8	12	43	47	33
18	6	43	14	22	38	19	18	36	19	55	13	16	60	14	16	46	40	50	63	42	28	20	39	26	21	41	18	35	37	37	36	33	52	2	42	22	4	16	17	14	50	7	25	0	4	33	37	18	22	50
22	10	47	10	18	34	23	22	40	23	51	9	20	64	12	12	50	44	54	67	38	24	24	43	30	17	45	22	37	33	33	40	37	48	2	46	26	6	20	13	10	54	7	29	4	0	37	41	14	18	54
15	39	30	47	43	59	30	35	51	34	76	46	33	31	35	49	29	25	33	30	63	49	25	60	43	44	56	31	56	58	58	7	6	73	35	27	17	31	21	38	47	37	30	8	33	37	0	4	51	55	29
19	43	28	51	47	57	28	33	49	32	74	50	37	29	33	53	27	23	31	26	61	47	23	58	41	48	54	35	54	56	56	5	4	71	39	25	15	35	21	36	51	35	34	12	37	41	4	0	55	59	27
36	24	61	10	8	42	37	36	54	37	37	7	34	78	26	8	64	58	68	81	24	18	38	57	44	7	59	36	51	35	41	54	51	36	16	60	40	20	34	21	6	68	21	43	18	14	51	55	0	14	68
40	16	65	8	18	46	41	40	58	41	51	9	22	82	30	6	68	62	72	85	38	24	42	61	48	17	63	24	55	39	45	58	55	48	20	64	44	24	38	25	8	72	25	47	22	18	55	59	14	0	72
32	56	7	64	60	30	31	32	22	31	47	63	50	10	42	66	4	10	4	13	46	50	30	31	24	61	27	48	27	33	29	22	23	44	52	8	28	48	34	47	64	8	47	33	50	54	29	27	68	72	0
