n	50
m	51
j	a	b	d	k
0	66	31	3120	24
1	46	82	555	6
2	15	31	1482	15
3	9	36	4120	16
4	19	88	1619	49
5	93	95	944	10
6	9	30	19	12
7	36	6	3443	22
8	15	24	1792	30
9	80	30	2812	20
10	37	32	3616	11
11	52	23	3538	33
12	2	96	4040	2
13	81	99	678	13
14	72	45	936	37
15	13	19	2734	6
16	10	50	1541	2
17	59	19	3709	35
18	38	57	1726	28
19	90	2	875	36
20	94	38	2421	49
21	84	6	478	39
22	20	7	2490	4
23	75	45	2761	40
24	81	70	1843	46
25	76	38	2080	1
26	1	2	3231	4
27	59	34	1367	48
28	13	33	1319	30
29	57	68	193	15
30	14	92	4054	42
31	31	39	4321	31
32	31	60	1293	10
33	30	47	1240	44
34	22	20	2974	26
35	14	62	3975	38
36	44	28	921	2
37	34	62	3711	45
38	93	23	235	6
39	81	86	403	42
40	1	71	967	44
41	57	69	3415	19
42	67	9	2050	23
43	88	92	3952	44
44	95	29	2413	8
45	5	24	728	29
46	76	85	2832	0
47	94	83	2070	13
48	67	17	3033	21
49	53	72	668	13
K
0	39	3	7	11	50	46	35	28	37	18	68	3	14	32	29	23	59	24	73	14	29	10	12	43	26	29	29	46	48	45	21	48	44	10	22	17	74	10	6	17	42	42	36	9	53	50	37	54	6	67
39	0	36	40	34	13	9	54	49	2	41	29	42	25	37	30	16	30	35	34	29	18	39	41	14	49	10	24	23	25	22	18	9	9	49	29	22	35	49	33	40	11	3	59	46	14	23	46	31	33	28
3	36	0	6	12	47	43	32	27	34	19	65	6	11	29	28	20	56	21	70	11	28	9	11	40	27	26	26	45	47	44	18	45	41	13	19	14	71	13	3	18	39	39	37	10	50	47	34	51	5	64
7	40	6	0	18	51	47	38	33	38	25	69	4	15	33	22	24	60	25	74	15	22	3	5	44	33	30	30	39	41	38	22	49	45	9	23	18	75	9	9	24	43	43	43	6	54	51	38	55	7	68
11	34	12	18	0	39	43	24	17	34	7	57	14	19	21	40	30	48	13	62	5	40	21	23	48	15	30	18	57	59	56	24	37	33	21	11	16	63	21	9	6	45	33	25	20	42	39	26	43	17	56
50	13	47	51	39	0	22	41	36	13	38	18	53	36	24	41	27	17	26	23	36	29	50	52	27	36	21	21	36	38	35	29	6	6	60	28	33	24	60	44	33	24	12	46	57	3	10	33	18	44	17
46	9	43	47	43	22	0	63	58	9	50	22	49	32	46	37	23	39	44	27	38	25	46	48	5	58	17	33	20	18	19	25	16	18	56	38	29	28	56	40	49	4	10	68	53	23	32	55	40	40	21
35	54	32	38	24	41	63	0	7	54	23	43	38	39	17	60	50	24	19	42	25	60	41	43	68	19	50	30	77	79	76	44	47	45	45	25	36	39	45	29	18	65	53	5	42	40	31	8	23	37	48
28	49	27	33	17	36	58	7	0	49	16	40	31	34	12	55	45	31	14	45	20	55	36	38	63	12	45	25	72	74	71	39	42	40	38	20	31	46	38	24	11	60	48	10	35	35	26	9	26	32	43
37	2	34	38	34	13	9	54	49	0	41	31	40	23	37	28	14	30	35	36	29	16	37	39	14	49	8	24	23	25	22	16	11	9	47	29	20	37	47	31	40	11	5	59	44	16	23	46	31	31	30
18	41	19	25	7	38	50	23	16	41	0	56	21	26	20	47	37	47	12	61	12	47	28	30	55	8	37	17	64	66	63	31	36	32	22	12	23	62	24	16	5	52	40	22	27	41	38	25	42	24	55
68	29	65	69	57	18	22	43	40	31	56	0	71	54	36	59	45	19	44	5	54	47	68	70	25	52	39	39	42	40	41	47	20	24	78	46	51	8	78	62	51	26	26	48	75	15	18	35	20	62	5
3	42	6	4	14	53	49	38	31	40	21	71	0	17	35	26	26	62	27	76	17	26	7	9	46	29	32	32	43	45	42	24	51	47	7	25	20	77	7	9	20	45	45	39	6	56	53	40	57	9	70
14	25	11	15	19	36	32	39	34	23	26	54	17	0	22	21	11	45	20	59	14	21	14	16	29	34	15	15	38	40	37	7	34	30	24	14	3	60	24	10	25	28	28	44	21	39	36	31	40	8	53
32	37	29	33	21	24	46	17	12	37	20	36	35	22	0	43	33	27	8	41	18	43	32	34	51	16	33	13	60	62	59	27	30	28	42	10	19	42	42	26	15	48	36	22	39	23	18	9	22	26	35
29	30	28	22	40	41	37	60	55	28	47	59	26	21	43	0	14	50	41	64	35	12	19	17	34	55	20	30	17	19	18	16	39	35	29	35	24	65	23	31	46	33	33	65	20	44	41	52	45	23	58
23	16	20	24	30	27	23	50	45	14	37	45	26	11	33	14	0	36	31	50	25	10	23	25	20	45	6	20	27	29	26	6	25	21	33	25	14	51	33	21	36	19	19	55	30	30	27	42	31	17	44
59	30	56	60	48	17	39	24	31	30	47	19	62	45	27	50	36	0	35	18	45	38	59	61	44	43	30	30	53	55	52	38	23	21	69	37	42	15	69	53	42	41	29	29	66	16	9	22	5	53	24
24	35	21	25	13	26	44	19	14	35	12	44	27	20	8	41	31	35	0	49	10	41	24	26	49	14	31	11	58	60	57	25	28	26	34	6	17	50	34	18	7	46	34	24	31	29	26	13	30	18	43
73	34	70	74	62	23	27	42	45	36	61	5	76	59	41	64	50	18	49	0	59	52	73	75	30	57	44	44	47	45	46	52	25	29	83	51	56	7	83	67	56	31	31	47	80	20	23	36	19	67	6
14	29	11	15	5	36	38	25	20	29	12	54	17	14	18	35	25	45	10	59	0	35	16	18	43	20	25	15	52	54	51	19	34	30	24	8	11	60	24	8	11	40	28	30	21	39	36	23	40	12	53
29	18	28	22	40	29	25	60	55	16	47	47	26	21	43	12	10	38	41	52	35	0	21	23	22	55	10	30	17	19	16	16	27	23	31	35	24	53	31	31	46	21	21	65	28	32	29	52	37	23	46
10	39	9	3	21	50	46	41	36	37	28	68	7	14	32	19	23	59	24	73	16	21	0	2	43	36	29	29	36	38	35	21	48	44	10	22	17	74	10	12	27	42	42	46	7	53	50	37	54	6	67
12	41	11	5	23	52	48	43	38	39	30	70	9	16	34	17	25	61	26	75	18	23	2	0	45	38	31	31	34	36	33	23	50	46	12	24	19	76	8	14	29	44	44	48	5	55	52	39	56	8	69
43	14	40	44	48	27	5	68	63	14	55	25	46	29	51	34	20	44	49	30	43	22	43	45	0	63	18	38	17	15	16	24	21	23	53	43	32	33	53	39	54	3	15	73	50	28	37	60	45	37	24
