n	50
m	51
j	a	b	d	k
0	26	68	1961	49
1	35	68	2083	16
2	71	32	25	33
3	73	32	2938	19
4	48	61	3130	14
5	52	17	960	16
6	71	8	2703	24
7	89	56	1516	19
8	72	23	4524	1
9	5	36	4562	24
10	81	18	1118	25
11	48	100	819	48
12	57	6	3324	6
13	44	44	3637	12
14	82	15	3199	1
15	34	43	1587	26
16	23	67	4749	43
17	67	84	652	27
18	80	47	2711	33
19	35	81	3410	26
20	52	48	1344	26
21	23	67	520	3
22	95	35	2855	25
23	36	77	985	20
24	47	16	2885	25
25	74	35	2151	44
26	76	64	3714	46
27	46	11	2205	50
28	52	46	3761	12
29	100	8	2618	49
30	54	22	4741	22
31	37	34	736	30
32	56	91	336	27
33	46	35	1900	18
34	47	24	1154	16
35	28	37	1906	21
36	19	39	2620	34
37	51	31	1152	18
38	73	58	1021	4
39	66	84	2843	35
40	16	85	4270	35
41	2	18	4506	2
42	95	31	2459	0
43	63	70	958	25
44	80	70	3093	36
45	96	88	1473	13
46	38	37	3671	16
47	32	17	694	16
48	46	59	1381	23
49	42	60	483	44
K
0	58	38	49	25	25	13	27	20	19	17	32	37	9	30	36	27	11	22	27	44	23	39	24	17	33	23	14	17	23	39	43	14	47	51	16	30	48	20	29	8	32	35	14	56	27	50	25	10	14	5
58	0	20	9	33	81	45	85	38	59	43	78	21	65	28	22	85	69	36	31	14	81	19	34	75	25	47	70	41	35	45	15	64	11	49	54	88	50	78	53	50	90	55	48	2	31	58	47	68	60	57
38	20	0	11	13	61	25	65	18	39	23	58	3	45	16	4	65	49	16	35	6	61	5	14	55	7	41	50	27	15	25	5	44	9	33	34	68	30	58	33	30	70	35	32	18	11	38	43	48	40	37
49	9	11	0	24	72	36	76	29	50	34	69	12	56	19	13	76	60	27	28	5	72	10	25	66	16	38	61	32	26	36	6	55	8	40	45	79	41	69	44	41	81	46	39	7	22	49	38	59	51	48
25	33	13	24	0	48	18	52	5	26	10	45	12	32	21	11	52	36	21	40	19	48	14	5	42	8	46	37	32	2	16	18	37	22	28	39	55	25	45	20	25	57	22	37	31	16	27	48	35	27	28
25	81	61	72	48	0	36	12	43	22	38	7	60	34	53	59	4	18	45	50	67	6	62	47	16	56	48	11	40	46	36	66	39	70	32	41	17	31	23	28	31	17	26	39	79	50	25	50	25	21	30
13	45	25	36	18	36	0	40	15	14	12	33	24	20	17	23	40	24	9	22	31	36	26	13	30	20	28	25	14	18	34	30	19	34	46	21	43	43	33	24	7	45	30	19	43	14	45	30	23	15	12
27	85	65	76	52	12	40	0	47	26	42	19	64	22	57	63	8	16	49	54	71	6	66	51	10	60	38	15	44	50	40	70	27	74	38	31	5	35	11	32	35	5	30	37	83	54	37	38	17	25	28
20	38	18	29	5	43	15	47	0	21	5	40	17	29	18	16	47	31	18	37	24	43	19	4	37	13	43	32	29	3	19	23	34	27	31	36	50	28	40	15	22	52	17	34	36	13	30	45	30	22	25
19	59	39	50	26	22	14	26	21	0	16	19	38	28	31	37	26	12	23	36	45	22	40	25	16	34	42	11	28	24	20	44	33	48	32	35	29	29	19	10	21	31	16	33	57	28	31	44	19	5	24
17	43	23	34	10	38	12	42	5	16	0	35	22	26	15	21	42	26	15	34	29	38	24	9	32	18	40	27	26	8	22	28	31	32	34	33	45	31	35	12	19	47	18	31	41	12	33	42	25	17	22
32	78	58	69	45	7	33	19	40	19	35	0	57	41	50	56	11	25	42	49	64	13	59	44	23	53	55	18	41	43	33	63	46	67	29	48	24	28	30	25	34	24	23	46	76	47	20	57	32	18	37
37	21	3	12	12	60	24	64	17	38	22	57	0	44	19	7	64	48	19	38	7	60	8	13	54	4	44	49	30	14	24	8	43	10	30	37	67	29	57	32	29	69	34	35	19	14	37	46	47	39	36
9	65	45	56	32	34	20	22	29	28	26	41	44	0	37	43	30	16	29	34	51	28	46	31	18	40	18	23	24	32	48	50	5	54	60	11	23	57	13	38	15	25	44	17	63	34	59	18	9	23	8
30	28	16	19	21	53	17	57	18	31	15	50	19	37	0	12	57	41	8	19	14	53	11	16	47	23	25	42	13	21	37	13	36	17	49	26	60	46	50	27	22	62	33	20	26	5	48	27	40	32	29
36	22	4	13	11	59	23	63	16	37	21	56	7	43	12	0	63	47	14	31	8	59	3	12	53	11	37	48	23	13	25	7	42	11	37	32	66	34	56	31	28	68	33	28	20	9	36	39	46	38	35
27	85	65	76	52	4	40	8	47	26	42	11	64	30	57	63	0	16	49	54	71	4	66	51	12	60	44	15	44	50	40	70	35	74	36	37	13	35	19	32	35	13	30	37	83	54	29	46	21	25	28
11	69	49	60	36	18	24	16	31	12	26	25	48	16	41	47	16	0	33	38	55	12	50	35	6	44	30	7	28	34	32	54	21	58	44	23	19	41	9	22	19	21	28	21	67	38	43	32	7	9	12
22	36	16	27	21	45	9	49	18	23	15	42	19	29	8	14	49	33	0	19	22	45	17	16	39	23	25	34	11	21	37	21	28	25	49	18	52	46	42	27	14	54	33	16	34	5	48	27	32	24	21
27	31	35	28	40	50	22	54	37	36	34	49	38	34	19	31	54	38	19	0	33	50	30	35	44	42	16	39	10	40	56	30	33	36	68	23	57	65	47	46	19	59	52	17	29	24	67	16	37	31	26
44	14	6	5	19	67	31	71	24	45	29	64	7	51	14	8	71	55	22	33	0	67	5	20	61	11	39	56	27	21	31	3	50	3	35	40	74	36	64	39	36	76	41	34	12	17	44	41	54	46	43
23	81	61	72	48	6	36	6	43	22	38	13	60	28	53	59	4	12	45	50	67	0	62	47	10	56	42	11	40	46	36	66	33	70	32	35	11	31	17	28	31	11	26	33	79	50	31	44	19	21	24
39	19	5	10	14	62	26	66	19	40	24	59	8	46	11	3	66	50	17	30	5	62	0	15	56	12	36	51	22	16	26	4	45	8	38	35	69	35	59	34	31	71	36	29	17	12	39	38	49	41	38
24	34	14	25	5	47	13	51	4	25	9	44	13	31	16	12	51	35	16	35	20	47	15	0	41	9	41	36	27	5	21	19	32	23	33	34	54	30	44	19	20	56	21	32	32	11	32	43	34	26	23
17	75	55	66	42	16	30	10	37	16	32	23	54	18	47	53	12	6	39	44	61	10	56	41	0	50	32	5	34	40	30	60	23	64	42	25	13	39	7	22	25	15	26	27	73	44	41	34	9	15	18
33	25	7	16	8	56	20	60	13	34	18	53	4	40	23	11	60	44	23	42	11	56	12	9	50	0	48	45	34	10	20	12	39	14	26	41	63	25	53	28	27	65	30	39	23	18	33	50	43	35	32
23	47	41	38	46	48	28	38	43	42	40	55	44	18	25	37	44	30	25	16	39	42	36	41	32	48	0	37	14	46	62	36	17	42	74	7	41	71	31	52	21	43	58	9	45	30	73	2	23	37	18
14	70	50	61	37	11	25	15	32	11	27	18	49	23	42	48	15	7	34	39	56	11	51	36	5	45	37	0	29	35	25	55	28	59	37	30	18	34	12	17	20	20	21	28	68	39	36	39	14	10	19
