n	50
m	51
j	a	b	d	k
0	85	73	974	19
1	59	8	1471	31
2	44	37	849	2
3	7	43	208	37
4	6	92	255	12
5	5	42	1545	20
6	19	25	1286	44
7	9	18	68	42
8	83	53	644	22
9	68	49	1590	33
10	19	55	1050	37
11	79	15	1853	31
12	75	6	1824	31
13	35	33	208	47
14	46	56	1604	19
15	99	45	1420	37
16	12	35	1294	5
17	91	50	322	31
18	96	39	1658	6
19	7	12	1768	34
20	18	4	1219	3
21	40	90	1490	2
22	22	62	0	14
23	68	3	134	27
24	50	77	1396	21
25	96	79	250	1
26	57	89	1099	45
27	31	94	468	2
28	3	50	209	24
29	30	34	85	16
30	26	44	564	29
31	98	65	57	24
32	19	29	428	25
33	57	67	638	40
34	25	83	1629	2
35	74	61	342	10
36	100	6	1853	26
37	20	19	837	9
38	37	74	49	13
39	28	43	1439	38
40	83	41	160	9
41	16	47	431	31
42	59	29	307	49
43	44	81	695	37
44	1	30	1757	30
45	77	14	976	23
46	13	74	1282	11
47	62	90	966	50
48	77	10	1368	28
49	70	68	811	20
K
0	13	37	36	25	8	43	22	33	46	41	25	20	19	13	55	16	18	54	17	25	39	26	25	3	11	26	25	17	7	7	15	23	14	9	43	27	27	35	37	26	44	7	5	36	27	27	43	36	20	29
13	0	32	23	30	21	32	31	46	55	50	14	29	10	14	42	13	27	41	20	24	30	17	16	14	22	35	34	20	8	20	6	14	7	22	30	14	14	44	24	17	53	16	10	23	36	18	52	23	33	38
37	32	0	21	12	45	6	27	70	29	40	18	19	42	38	18	39	35	21	44	12	2	49	48	38	46	11	18	20	32	44	38	46	37	46	10	40	28	40	14	49	21	38	32	13	30	50	40	13	57	34
36	23	21	0	19	44	21	26	69	44	39	11	18	21	37	19	36	34	18	43	13	19	28	27	37	45	24	23	19	31	43	23	25	30	45	11	19	9	39	7	36	42	37	31	8	29	29	41	8	56	33
25	30	12	19	0	33	18	15	58	25	28	16	7	40	34	30	37	23	29	38	6	14	47	46	26	34	5	6	10	28	32	36	44	35	34	18	38	26	28	12	47	23	26	20	11	18	48	28	11	45	22
8	21	45	44	33	0	51	26	25	50	45	33	26	27	9	63	12	22	62	13	33	47	22	21	7	7	34	29	25	13	3	21	23	14	9	51	35	35	39	45	22	48	11	13	44	31	25	47	44	12	33
43	32	6	21	18	51	0	33	76	35	46	18	25	42	44	12	43	41	21	50	18	4	49	48	44	52	17	24	26	38	50	38	46	37	52	10	40	28	46	14	49	21	44	38	13	36	50	46	13	63	40
22	31	27	26	15	26	33	0	43	24	19	17	8	41	35	45	38	8	44	39	15	29	48	47	19	33	16	9	11	29	23	37	45	36	19	33	39	27	13	27	48	22	15	21	26	5	49	21	26	30	7
33	46	70	69	58	25	76	43	0	41	32	58	51	52	32	88	33	35	87	26	58	72	47	44	32	24	59	52	50	38	26	46	48	39	24	76	60	60	30	70	35	55	32	38	69	40	50	34	69	13	36
46	55	29	44	25	50	35	24	41	0	11	41	26	65	59	47	62	28	46	63	31	31	72	71	43	57	20	21	35	53	47	61	69	60	41	35	63	51	11	37	72	14	39	45	36	19	73	11	36	38	17
