n	20
m	21
j	a	b	d	k
0	91	89	33	8
1	62	100	22	6
2	95	49	20	20
3	82	17	52	1
4	87	21	38	12
5	82	16	81	11
6	76	77	91	18
7	9	25	81	10
8	63	36	14	11
9	65	35	24	6
10	77	94	20	8
11	7	27	8	9
12	40	27	26	8
13	18	39	38	13
14	48	82	78	18
15	40	53	58	8
16	79	3	47	4
17	68	22	40	3
18	25	81	38	17
19	10	15	51	1
K
0	14	47	73	26	73	53	72	55	45	66	48	11	79	23	31	53	25	49	40	69	
14	0	33	59	16	59	39	58	41	35	52	34	19	65	33	23	39	27	35	32	55	
47	33	0	26	35	26	22	25	20	52	19	15	36	32	28	16	20	22	4	15	22	
73	59	26	0	61	0	48	23	46	42	23	25	62	14	54	42	20	48	24	41	28	
26	16	35	61	0	61	55	60	53	19	54	36	35	67	49	39	41	43	37	48	57	
73	59	26	0	61	0	48	23	46	42	23	25	62	14	54	42	20	48	24	41	28	
53	39	22	48	55	48	0	25	2	74	25	37	42	34	34	22	42	28	26	13	20	
72	58	25	23	60	23	25	0	23	49	6	24	61	9	53	41	19	47	23	32	5	
55	41	20	46	53	46	2	23	0	72	23	35	44	32	36	24	40	30	24	15	18	
45	35	52	42	19	42	74	49	72	0	49	37	54	48	68	58	32	62	48	67	54	
66	52	19	23	54	23	25	6	23	49	0	18	55	13	47	35	17	41	17	26	5	
48	34	15	25	36	25	37	24	35	37	18	0	37	31	31	21	5	25	11	30	21	
11	19	36	62	35	62	42	61	44	54	55	37	0	68	14	20	42	14	38	29	58	
79	65	32	14	67	14	34	9	32	48	13	31	68	0	60	48	26	54	30	39	14	
23	33	28	54	49	54	34	53	36	68	47	31	14	60	0	12	36	6	30	21	50	
31	23	16	42	39	42	22	41	24	58	35	21	20	48	12	0	26	6	18	9	38	
53	39	20	20	41	20	42	19	40	32	17	5	42	26	36	26	0	30	16	35	22	
25	27	22	48	43	48	28	47	30	62	41	25	14	54	6	6	30	0	24	15	44	
49	35	4	24	37	24	26	23	24	48	17	11	38	30	30	18	16	24	0	19	20	
40	32	15	41	48	41	13	32	15	67	26	30	29	39	21	9	35	15	19	0	29	
69	55	22	28	57	28	20	5	18	54	5	21	58	14	50	38	22	44	20	29	0	
