n	20
m	21
j	a	b	d	k
0	52	27	25	5
1	70	33	155	1
2	18	21	610	15
3	40	28	361	0
4	97	98	1285	13
5	91	55	1221	3
6	88	72	943	17
7	50	69	586	4
8	82	83	458	5
9	65	18	163	8
10	61	92	1083	2
11	57	94	86	12
12	29	3	881	14
13	49	7	193	9
14	98	95	1100	20
15	82	16	584	18
16	25	76	816	13
17	78	12	874	8
18	45	33	78	3
19	39	95	633	17
K
0	18	40	30	52	34	26	7	34	24	14	58	37	41	44	25	30	33	28	33	48
18	0	28	48	40	52	14	11	26	16	32	46	25	45	40	13	18	21	16	35	36
40	28	0	24	12	28	32	39	6	16	32	18	11	21	16	25	34	33	30	11	34
30	48	24	0	36	8	56	37	22	32	20	40	35	13	16	49	58	57	54	13	58
52	40	12	36	0	40	26	51	18	28	44	6	15	33	28	27	22	21	24	23	22
34	52	28	8	40	0	60	41	26	36	20	44	39	21	24	53	62	61	58	17	62
26	14	32	56	26	60	0	25	34	24	40	32	21	53	48	7	4	7	2	43	22
7	11	39	37	51	41	25	0	33	23	21	57	36	40	43	24	29	32	27	32	47
34	26	6	22	18	26	34	33	0	10	26	24	13	19	14	27	36	35	32	9	36
24	16	16	32	28	36	24	23	10	0	16	34	13	29	24	17	26	25	22	19	26
14	32	32	20	44	20	40	21	26	16	0	50	29	33	36	33	42	41	38	25	42
58	46	18	40	6	44	32	57	24	34	50	0	21	37	32	33	28	25	30	27	18
37	25	11	35	15	39	21	36	13	13	29	21	0	32	27	14	23	22	19	22	23
41	45	21	13	33	21	53	40	19	29	33	37	32	0	5	46	55	54	51	10	55
44	40	16	16	28	24	48	43	14	24	36	32	27	5	0	41	50	49	46	11	50
25	13	25	49	27	53	7	24	27	17	33	33	14	46	41	0	9	8	5	36	23
30	18	34	58	22	62	4	29	36	26	42	28	23	55	50	9	0	3	4	45	18
33	21	33	57	21	61	7	32	35	25	41	25	22	54	49	8	3	0	5	44	15
28	16	30	54	24	58	2	27	32	22	38	30	19	51	46	5	4	5	0	41	20
33	35	11	13	23	17	43	32	9	19	25	27	22	10	11	36	45	44	41	0	45
48	36	34	58	22	62	22	47	36	26	42	18	23	55	50	23	18	15	20	45	0
