n	50
m	51
j	a	b	d	k
0	25	61	2727	37
1	61	23	3108	1
2	43	81	1370	46
3	44	34	437	38
4	33	14	34	36
5	96	23	3972	4
6	19	34	1993	36
7	54	70	1977	40
8	76	85	2934	19
9	43	28	3312	36
10	96	70	1321	43
11	67	77	503	33
12	39	56	2549	43
13	22	22	2554	10
14	1	45	1973	40
15	18	50	380	43
16	31	97	3454	4
17	56	100	48	49
18	7	59	3448	9
19	37	25	3082	39
20	17	51	240	50
21	18	92	2858	24
22	21	98	2700	46
23	66	98	3887	9
24	31	42	3491	1
25	83	62	3304	28
26	62	78	3686	21
27	11	68	3917	41
28	98	68	1937	24
29	92	72	286	42
30	87	57	3421	45
31	5	47	1726	22
32	2	20	2175	6
33	55	81	3803	31
34	59	46	1211	48
35	32	37	3838	30
36	49	20	875	16
37	75	74	1314	26
38	7	23	137	6
39	1	62	3705	40
40	28	62	2072	4
41	50	46	754	41
42	75	82	336	34
43	16	61	3388	43
44	55	87	3	4
45	74	25	2072	1
46	27	80	563	48
47	95	25	3588	31
48	48	61	259	41
49	20	91	1075	40
K
0	43	44	23	32	50	63	36	42	26	23	63	45	42	63	32	16	78	29	64	47	84	38	48	34	43	52	28	34	85	43	43	74	48	17	49	46	49	62	31	31	69	42	67	88	42	21	55	84	45	63
43	0	25	20	17	31	40	47	15	37	20	20	20	15	20	41	37	35	32	21	18	41	7	41	11	40	49	31	27	42	58	8	31	5	30	22	13	20	25	12	14	26	9	24	45	3	22	18	41	26	38
44	25	0	43	16	56	65	72	40	62	45	41	5	10	41	66	38	36	57	26	7	40	18	66	14	65	74	56	52	41	83	17	30	20	55	5	38	45	50	37	13	35	34	33	44	28	33	11	42	51	63
23	20	43	0	35	27	40	29	19	19	2	40	38	33	40	23	19	55	14	41	36	61	25	25	29	22	31	13	11	62	40	26	51	25	12	40	23	26	39	8	32	46	19	44	65	19	10	36	61	22	40
32	17	16	35	0	48	57	64	32	54	37	35	17	14	35	58	22	50	49	36	19	56	10	58	6	57	66	48	44	57	75	15	46	20	47	21	30	37	42	29	3	41	26	39	60	20	25	27	56	43	55
50	31	56	27	48	0	13	16	16	24	27	15	51	46	15	18	44	28	21	30	49	34	38	10	42	9	18	22	16	35	27	39	34	36	33	53	18	11	12	19	45	21	22	23	38	28	29	49	34	5	13
63	40	65	40	57	13	0	27	25	37	40	24	60	55	24	31	57	29	34	39	58	27	47	15	51	20	11	35	29	32	20	48	43	45	46	62	27	20	15	32	54	30	31	32	29	37	42	58	23	18	2
36	47	72	29	64	16	27	0	32	10	27	31	67	62	31	6	48	42	15	46	65	48	54	12	58	7	16	16	20	49	11	55	50	52	19	69	34	27	26	35	61	37	38	39	52	44	39	65	48	21	27
42	15	40	19	32	16	25	32	0	22	19	21	35	30	21	26	36	36	17	22	33	42	22	26	26	25	34	16	12	43	43	23	32	20	25	37	4	7	20	11	29	27	6	25	46	12	21	33	42	11	23
26	37	62	19	54	24	37	10	22	0	17	37	57	52	37	6	38	52	5	38	55	58	44	22	48	17	26	6	10	59	21	45	48	42	9	59	24	23	36	25	51	43	28	41	62	34	29	55	58	19	37
23	20	45	2	37	27	40	27	19	17	0	40	40	35	40	21	21	55	12	41	38	61	27	25	31	20	29	11	11	62	38	28	51	25	10	42	23	26	39	8	34	46	19	44	65	19	12	38	61	22	40
63	20	41	40	35	15	24	31	21	37	40	0	36	31	0	31	57	15	34	15	34	21	25	25	29	24	33	35	29	22	42	24	19	21	46	38	17	14	9	32	32	6	21	8	25	21	42	34	21	18	22
45	20	5	38	17	51	60	67	35	57	40	36	0	5	36	61	39	33	52	21	2	39	13	61	11	60	69	51	47	40	78	12	29	15	50	4	33	40	45	32	14	30	29	28	43	23	28	10	39	46	58
42	15	10	33	14	46	55	62	30	52	35	31	5	0	31	56	36	36	47	22	5	42	8	56	8	55	64	46	42	43	73	7	32	10	45	7	28	35	40	27	11	27	24	25	46	18	23	13	42	41	53
63	20	41	40	35	15	24	31	21	37	40	0	36	31	0	31	57	15	34	15	34	21	25	25	29	24	33	35	29	22	42	24	19	21	46	38	17	14	9	32	32	6	21	8	25	21	42	34	21	18	22
32	41	66	23	58	18	31	6	26	6	21	31	61	56	31	0	42	46	9	40	59	52	48	16	52	11	20	10	14	53	17	49	44	46	15	63	28	21	30	29	55	37	32	35	56	38	33	59	52	15	31
16	37	38	19	22	44	57	48	36	38	21	57	39	36	57	42	0	72	33	58	41	78	32	42	28	41	50	32	28	79	59	37	68	42	31	43	40	43	56	25	25	63	36	61	82	36	15	49	78	39	57
78	35	36	55	50	28	29	42	36	52	55	15	33	36	15	46	72	0	49	14	31	6	40	30	44	35	38	50	44	7	47	35	14	30	61	33	32	29	16	47	47	9	36	11	10	36	57	29	6	33	27
29	32	57	14	49	21	34	15	17	5	12	34	52	47	34	9	33	49	0	35	50	55	39	19	43	14	23	1	5	56	26	40	45	37	12	54	19	20	33	20	46	40	23	38	59	29	24	50	55	16	34
64	21	26	41	36	30	39	46	22	38	41	15	21	22	15	40	58	14	35	0	19	20	26	40	30	39	48	36	30	21	57	21	10	16	47	23	18	19	24	33	33	9	22	7	24	22	43	19	20	25	37
47	18	7	36	19	49	58	65	33	55	38	34	2	5	34	59	41	31	50	19	0	37	11	59	13	58	67	49	45	38	76	10	27	13	48	4	31	38	43	30	16	28	27	26	41	21	26	8	37	44	56
84	41	40	61	56	34	27	48	42	58	61	21	39	42	21	52	78	6	55	20	37	0	46	36	50	41	36	56	50	5	45	41	16	36	67	35	38	35	22	53	53	15	42	17	4	42	63	31	4	39	25
38	7	18	25	10	38	47	54	22	44	27	25	13	8	25	48	32	40	39	26	11	46	0	48	4	47	56	38	34	47	65	5	36	10	37	15	20	27	32	19	7	31	16	29	50	10	17	17	46	33	45
48	41	66	25	58	10	15	12	26	22	25	25	61	56	25	16	42	30	19	40	59	36	48	0	52	5	8	20	14	37	17	49	44	46	31	63	28	21	16	29	55	31	32	33	40	38	33	59	36	15	15
34	11	14	29	6	42	51	58	26	48	31	29	11	8	29	52	28	44	43	30	13	50	4	52	0	51	60	42	38	51	69	9	40	14	41	15	24	31	36	23	3	35	20	33	54	14	19	21	50	37	49
43	40	65	22	57	9	20	7	25	17	20	24	60	55	24	11	41	35	14	39	58	41	47	5	51	0	9	15	13	42	18	48	43	45	26	62	27	20	19	28	54	30	31	32	45	37	32	58	41	14	20
52	49	74	31	66	18	11	16	34	26	29	33	69	64	33	20	50	38	23	48	67	36	56	8	60	9	0	24	22	41	9	57	52	54	35	71	36	29	24	37	63	39	40	41	38	46	41	67	32	23	11
